1358542402.036729 - nlsr.c, main, 1220 :Router Name : /ndn/memphis.edu/cs/castor
1358542402.036836 - nlsr.c, main, 1223 :lsdb_version: 0000000000000000
1358542402.126365 - nlsr_lsdb.c, install_name_lsa, 320 : Name-LSA
1358542402.126455 - nlsr_lsdb.c, install_name_lsa, 321 : Adding name lsa
1358542402.126486 - nlsr_lsdb.c, write_log_for_name_lsa, 499 :-----------Name LSA Content---------------
1358542402.126515 - nlsr_lsdb.c, write_log_for_name_lsa, 500 :	Origination Router: /ndn/memphis.edu/cs/castor
1358542402.126545 - nlsr_lsdb.c, write_log_for_name_lsa, 501 :	Origination Router Length:	27
1358542402.126574 - nlsr_lsdb.c, write_log_for_name_lsa, 502 :	LS Type:	2
1358542402.126603 - nlsr_lsdb.c, write_log_for_name_lsa, 503 :	LS Id:	1
1358542402.126633 - nlsr_lsdb.c, write_log_for_name_lsa, 504 :	Origination Time:	1358542402126283
1358542402.126662 - nlsr_lsdb.c, write_log_for_name_lsa, 505 :	Is Valid:	1
1358542402.126691 - nlsr_lsdb.c, write_log_for_name_lsa, 506 :	LSA Data			
1358542402.126722 - nlsr_lsdb.c, write_log_for_name_lsa, 507 :		Name Prefix: /ndn/memphis.edu/cs/castor/name1
1358542402.126751 - nlsr_lsdb.c, write_log_for_name_lsa, 508 :		Name Prefix Length:	33
1358542402.126780 - nlsr_lsdb.c, write_log_for_name_lsa, 509 :
1358542402.126808 - nlsr_lsdb.c, install_name_lsa, 323 : name_lsa_end
1358542403.453487 - nlsr_lsdb.c, install_name_lsa, 320 : Name-LSA
1358542403.453572 - nlsr_lsdb.c, install_name_lsa, 321 : Adding name lsa
1358542403.453602 - nlsr_lsdb.c, write_log_for_name_lsa, 499 :-----------Name LSA Content---------------
1358542403.453632 - nlsr_lsdb.c, write_log_for_name_lsa, 500 :	Origination Router: /ndn/memphis.edu/cs/mira
1358542403.453661 - nlsr_lsdb.c, write_log_for_name_lsa, 501 :	Origination Router Length:	25
1358542403.453690 - nlsr_lsdb.c, write_log_for_name_lsa, 502 :	LS Type:	2
1358542403.453719 - nlsr_lsdb.c, write_log_for_name_lsa, 503 :	LS Id:	1
1358542403.453748 - nlsr_lsdb.c, write_log_for_name_lsa, 504 :	Origination Time:	1358542396326781
1358542403.453777 - nlsr_lsdb.c, write_log_for_name_lsa, 505 :	Is Valid:	1
1358542403.453805 - nlsr_lsdb.c, write_log_for_name_lsa, 506 :	LSA Data			
